[2026-07-20T13:00:32.024Z] GET https://kiro.dev/docs/specs/concepts/ → 404 (421ms, 16670B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/images/kiro-wordmark.png?h=0ad65a93 → 200 (69ms, 4459B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/_next/static/css/9d5581a7a0101811.css → 200 (66ms, 3455B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/_next/static/css/2801a6621b658c37.css → 200 (68ms, 28571B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/_next/static/css/fb197a0a3bdbc05c.css → 200 (67ms, 8706B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/_next/static/chunks/webpack-50697beb98ec2570.js → pending (?ms, ?B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/_next/static/chunks/4bd1b696-2135e4d8b8354323.js → pending (?ms, ?B)
[2026-07-20T13:00:32.497Z] GET https://kiro.dev/_next/static/chunks/31255-3259eb3504a02bb3.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/main-app-fc87dd8f412275eb.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/dc112a36-b97994d4614a5ce3.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/52619-c48a18d6f62d2371.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/67853-35009e305b2c6747.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/24909-801741e973f7157d.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/36442-6eb1cf414d79ed29.js → pending (?ms, ?B)
[2026-07-20T13:00:32.498Z] GET https://kiro.dev/_next/static/chunks/346-5e15cb806918551a.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/74229-d6415b8f457b50eb.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/app/not-found-68e5367c94e8b460.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/16400-4d56624623e827c3.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/60421-de8f1bdf5b72cb95.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/68935-8697696117328a5d.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/689-124011b4ba22b465.js → pending (?ms, ?B)
[2026-07-20T13:00:32.499Z] GET https://kiro.dev/_next/static/chunks/3410-482129ff022ef543.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/91154-49c01d6af19632a9.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/76655-56c3ab6072f606b2.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/394-a52b898ece3cfed6.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/90311-a385e1e21c5107d1.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/92850-105cb1ec9460e3b2.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/45156-1a90ca365cadcaa8.js → pending (?ms, ?B)
[2026-07-20T13:00:32.500Z] GET https://kiro.dev/_next/static/chunks/3266-6251ab45017eeb49.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/45405-4d01dc93694cbc5b.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/46117-59bcaa46622806e1.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/54542-93fad8b716d1b496.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/26582-cf2ae8d750ee1de6.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/9429-8a1cfd25282ac6f0.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/32723-b175e21067724750.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/91846-19aff7661decf0f7.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/app/page-593823962d4402ee.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/91752-624cf6cf3cf92b9f.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/app/layout-33811be607e84bcf.js → pending (?ms, ?B)
[2026-07-20T13:00:32.501Z] GET https://kiro.dev/_next/static/chunks/app/error-03be5b7cb25ea87b.js → pending (?ms, ?B)
